prname,pruid,reporting_year,reporting_week,date,numtests_weekly,percentpositivity_weekly,update
British Columbia,59,2022,35,2022-09-03,14523,7.3,1
Alberta,48,2022,35,2022-09-03,6922,18.3,1
Saskatchewan,47,2022,35,2022-09-03,5267,10.2,1
Manitoba,46,2022,35,2022-09-03,2225,23.4,1
Ontario,35,2022,35,2022-09-03,28978,12.7,1
Quebec,24,2022,35,2022-09-03,26519,12.3,1
Newfoundland and Labrador,10,2022,35,2022-09-03,536,25,1
New Brunswick,13,2022,35,2022-09-03,2877,15.9,1
Nova Scotia,12,2022,35,2022-09-03,5006,24.4,1
Prince Edward Island,11,2022,35,2022-09-03,1898,31.6,1
Yukon,60,2022,35,2022-09-03,359,7.8,1
Northwest Territories,61,2022,35,2022-09-03,32,3.1,1
Nunavut,62,2022,35,2022-09-03,170,13.5,1
Canada,1,2022,35,2022-09-03,95312,13.4,
British Columbia,59,2022,36,2022-09-10,13642,7.4,1
Alberta,48,2022,36,2022-09-10,6564,17,1
Saskatchewan,47,2022,36,2022-09-10,4726,10.6,1
Manitoba,46,2022,36,2022-09-10,2080,21.3,1
Ontario,35,2022,36,2022-09-10,25742,12,1
Quebec,24,2022,36,2022-09-10,25637,12.4,1
Newfoundland and Labrador,10,2022,36,2022-09-10,405,20.7,1
New Brunswick,13,2022,36,2022-09-10,2723,21,1
Nova Scotia,12,2022,36,2022-09-10,4662,22.6,1
Prince Edward Island,11,2022,36,2022-09-10,1430,27.6,1
Yukon,60,2022,36,2022-09-10,227,6.6,1
Northwest Territories,61,2022,36,2022-09-10,21,14.3,1
Nunavut,62,2022,36,2022-09-10,148,16.9,1
Canada,1,2022,36,2022-09-10,88007,13.1,
British Columbia,59,2022,37,2022-09-17,15727,6.7,1
Alberta,48,2022,37,2022-09-17,6969,19.6,1
Saskatchewan,47,2022,37,2022-09-17,5432,9.5,1
Manitoba,46,2022,37,2022-09-17,1840,23.3,1
Ontario,35,2022,37,2022-09-17,28069,12.7,1
Quebec,24,2022,37,2022-09-17,26091,12.2,1
Newfoundland and Labrador,10,2022,37,2022-09-17,407,20.4,1
New Brunswick,13,2022,37,2022-09-17,2794,12.1,1
Nova Scotia,12,2022,37,2022-09-17,5161,21,1
Prince Edward Island,11,2022,37,2022-09-17,1426,24.3,1
Yukon,60,2022,37,2022-09-17,229,9.2,1
Northwest Territories,61,2022,37,2022-09-17,48,8.3,1
Nunavut,62,2022,37,2022-09-17,170,20,1
Canada,1,2022,37,2022-09-17,94363,12.7,
British Columbia,59,2022,38,2022-09-24,15532,7,1
Alberta,48,2022,38,2022-09-24,7721,20.4,1
Saskatchewan,47,2022,38,2022-09-24,5348,9.4,1
Manitoba,46,2022,38,2022-09-24,1973,23.4,1
Ontario,35,2022,38,2022-09-24,28977,12.4,1
Quebec,24,2022,38,2022-09-24,26931,13.4,1
Newfoundland and Labrador,10,2022,38,2022-09-24,498,22.3,1
New Brunswick,13,2022,38,2022-09-24,2496,22,1
Nova Scotia,12,2022,38,2022-09-24,4929,23.8,1
Prince Edward Island,11,2022,38,2022-09-24,1422,30,1
Yukon,60,2022,38,2022-09-24,236,7.2,1
