Date,Location,region,measureid,fractionid,viral_load,seven_day_rolling_avg,pruid
2021-12-08,Montreal North,Montreal,covN2,solid,116.06102,75.7562575,24
2021-12-11,Montreal North,Montreal,covN2,solid,33.467815,74.7644175,24
2021-08-04,North Battleford,North Battleford,covN2,mixed,0.87,0.87,47
2021-08-06,North Battleford,North Battleford,covN2,mixed,0,0.435,47
2021-12-15,Montreal North,Montreal,covN2,solid,58.93205,46.1999325,24
2021-12-18,Montreal North,Montreal,covN2,solid,102.219125,80.5755875,24
2021-12-22,Montreal North,Montreal,covN2,solid,264.418585,183.318855,24
2021-12-25,Montreal North,Montreal,covN2,solid,140.401695,202.41014,24
2021-12-29,Montreal North,Montreal,covN2,solid,463.384685,301.89319,24
2022-01-01,Montreal North,Montreal,covN2,solid,223.10267,343.2436775,24
2022-01-06,Montreal North,Montreal,covN2,solid,236.833045,229.9678575,24
2022-01-08,Montreal North,Montreal,covN2,solid,147.060455,191.94675,24
2022-01-12,Montreal North,Montreal,covN2,solid,354.32266,246.072053333333,24
2022-01-15,Montreal North,Montreal,covN2,solid,225.239365,289.7810125,24
2022-01-19,Montreal North,Montreal,covN2,solid,124.182275,174.71082,24
2022-01-22,Montreal North,Montreal,covN2,solid,366.635815,245.409045,24
2022-01-26,Montreal North,Montreal,covN2,solid,65.0872,215.8615075,24
2022-01-29,Montreal North,Montreal,covN2,solid,50.54995,57.818575,24
2022-02-02,Montreal North,Montreal,covN2,solid,74.998295,62.7741225,24
2022-02-05,Montreal North,Montreal,covN2,solid,35.162205,55.08025,24
2022-02-09,Montreal North,Montreal,covN2,solid,15.37021,25.2662075,24
2022-02-12,Montreal North,Montreal,covN2,solid,18.261495,16.8158525,24
2022-02-19,Montreal North,Montreal,covN2,solid,8.697645,8.697645,24
2022-02-23,Montreal North,Montreal,covN2,solid,10.66746,9.6825525,24
2022-02-26,Montreal North,Montreal,covN2,solid,6.486035,8.5767475,24
2022-03-02,Montreal North,Montreal,covN2,solid,31.89836,19.1921975,24
2022-03-03,Montreal North,Montreal,covN2,solid,6.1267725,14.8370558333333,24
2022-03-05,Montreal North,Montreal,covN2,solid,6.477345,14.8341591666667,24
